"","Page","Date","message"
"51","Tekebaev",2017-11-19,"Элдин байлыгын эл чечиш керек эле акмактар келгиле баарылап жог кенешти тараталы лидерлер кайда"
"52","Tekebaev",2017-11-20,"Туура булардын баарын камаш керек Саткындар чекесинен сатып жатышат"
"53","Tekebaev",2017-11-20,"Парламент Текебаев менен кыйын болчуАзыр кай жакка айдаса ошол жакка басатКуудулдар таап айткан экен"
"54","Tekebaev",2017-11-20,"Кун карама шералинин тукуму бул парламент Ата мекенден биологу Наалат буларга Укум тукуму чейин бетине чиркоо"
"55","Tekebaev",2017-11-20,"Кантип депутаттар кыргызмын деп айтышат озулорун ушундан кийин Манкурттар"
"56","Tekebaev",2017-11-20,"Чыныгы лидерлер камактаайдатмалардын кылаары ушу"
"57","Tekebaev",2017-11-21,"Текеси жок болсо койлор ар кайсы жака чуркайт да"
"58","Tekebaev",2017-11-21,"Омуке азыр деле кыйын саясатчы эле деген соз откон чакты билдирет"
"59","Tekebaev",2017-11-21,"Текебаев негизи кыйын саясатчы"
"60","Tekebaev",2017-11-21,"А эмне өзүңөрдүБакиев Курманбек Салиевичтен өөдө көрүп атасыңарбычындыгында ал кишинин чыан пона да тең эмессиңермуну бир билип койгула120 депутатжепутатыңар биригипкалган папке көтөргөн ак үйдүн боккурсактары баарың бириксең ал АДАМдын баскан изине теңеле албайсыңарТеке дегениңер ал кишинин ким экенинкандай адам экенин эми кадырына жете баштаптырали дагы көөп арман кылат"
"61","Tekebaev",2017-11-21,"Аии АЛЛА ТААЛАНЫН ичи кенендигин ай ошол монгу сатканда наадандарды эмнеге майып кылып же болбосо тынчытып эле койбойт Ээ садаган кетейин жараткан Аллам озуноган койдук бул акмактарды"
"62","Tekebaev",2017-12-11,"Текебаевди приздент кылып шайлашыбыз керек ошо гана онойт текебаев жаралгандан бери бийлик менен алышып келе жатат"
"63","Tekebaev",2017-11-07,"Кумтөр

Өмүрбек Текебаев Аткинсон кыргыз мыйзамдарынын алдында жооп бериши керек

Жогорку Кеңеш
9апрель 2015жыл"
"64","Tekebaev",2017-11-07,"Камап койгонуна ичим ачышатда"
"65","Tekebaev",2017-11-07,"Мындай оратор ойчул жана демократ адамды барктабай балбестерге салып берип олтурабыз Адам эмес экенбиз"
